Тип обладнання;Номер об'єкту;Адреса;Статус обладнання;Техогляд план 01;Техогляд план 02 ;Техогляд план 03;Техогляд план 04;Техогляд план 05;Техогляд план 06;Техогляд план 07;Техогляд план 08;Техогляд план 09;Техогляд план 10;Техогляд план 11;Техогляд план 12;Регулювання план 04;Регулювання план 10;Техобслуговування план;Плановий ремонт план;Техогляд факт 01;Техогляд факт 02 ;Техогляд факт 03;Техогляд факт 04;Техогляд факт 05;Техогляд факт 06;Техогляд факт 07;Техогляд факт 08;Техогляд факт 09;Техогляд факт 10;Техогляд факт 11;Техогляд факт 12;Регулювання факт 04;Регулювання факт 10;Техобслуговування факт;Плановий ремонт факт
ГРП;№01150001;Хмільницький район м.Калинівка Варшицька;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГРП;№01150002;Хмільницький район м.Калинівка Вишнева;включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;16.Вер;16.Вер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2
ГРП;№01150003;Хмільницький район м.Калинівка Медична;включене;23;18;18;15;13;6;7;5;2;9;3;3;15;9;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2
ГРП;№01150004;Хмільницький район м.Калинівка Незалежності;включене;22;21;24;23;23;23;23;22;22;22;21;22;15;9;26.Сер;26.Сер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРП;№01150005;Хмільницький район м.Калинівка І.Дзюби;включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;3;3
ГРП;№01150006;Хмільницький район м.Калинівка Чкалова;включене;23;18;18;15;13;6;7;5;2;9;3;3;15;9;16.Вер;16.Вер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2
ГРП;№01150007;Хмільницький район м.Калинівка Шевченко;включене;23;18;18;15;13;6;7;5;2;9;3;3;15;9;28.Чер;28.Чер;1;1;1;1;1;1;1;1;3;2;2;2;1;2;1;1
ГРП;№01150008;Хмільницький район м.Калинівка М.Грушевськ.;включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;18.Вер;18.Вер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2
ГРП;№01150009;Хмільницький район м.Калинівка Боженко;включене;23;18;18;15;13;6;7;5;2;9;3;3;15;9;28.Чер;28.Чер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ГРП;№01150010;Хмільницький район м.Калинівка Возз’єднання;включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;18.Вер;18.Вер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2
ГРП;№01150011;Хмільницький район м.Калинівка Тімірязева;включене;23;18;18;15;13;6;7;5;2;9;3;3;15;9;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2
ГРП;№01150012;Хмільницький район село Корделівка Зарічна;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГРП;№01150013;Хмільницький район село Корделівка Шевченко;включене;13;12;14;14;14;13;11;11;10;10;10;10;14;10;17.Чер;17.Чер;1;1;1;1;1;1;1;1;3;2;2;2;1;2;1;1
ГРП;№01150014;Хмільницький район село Черепашинці Центральна;включене;14;13;13;10;9;9;8;6;3;3;4;4;10;3;17.Чер;17.Чер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ГРП;№01150015;Хмільницький район село Черепашинці Центральна 2;включене;14;13;13;10;9;9;8;6;3;3;4;4;10;3;15.Лип;15.Лип;1;1;1;1;1;1;1;3;1;2;2;2;1;2;1;1
ГРП;№01150016;Хмільницький район село Черепашинці Космонавтів;включене;14;13;13;10;9;9;8;6;3;3;4;4;10;3;15.Сер;15.Сер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ГРП;№01150017;Хмільницький район село Павлівка Калинівська;включене;21;20;20;17;15;10;9;7;4;8;7;8;17;8;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ГРП;№01150018;Хмільницький район село М.Кутищі вул.Миру;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГРП;№01150019;Хмільницький район місто Калинівка Шевченко;включене;23;18;18;15;13;6;7;5;2;9;3;3;15;9;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2
ГРП;№01150020;Хмільницький район село Хомутинці Руданського;включене;6;5;7;1;01            30;27;28;27;26;1;21;19;15;9;15.Сер;15.Сер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРП;№01150021;Хмільницький районсело Павліка Молодіжна;включене;21;20;20;17;15;10;9;7;4;8;7;8;17;8;20.Тра;20.Тра;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
